n.node_id,n.longitude,n.latitude,elementid(n)
1454530765,20.6083181,-103.3793567,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6751
4760132265,20.6083256,-103.3592227,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12546
1794521378,20.6083299,-103.436269,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10153
1450810347,20.6083314,-103.3716774,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6444
1452636061,20.6083402,-103.3837883,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6593
1439693382,20.6083431,-103.3929409,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6118
1427496621,20.6083487,-103.3668078,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5770
1794521380,20.6083491,-103.4343159,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10154
1430324136,20.6083511,-103.4262714,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5802
6148072007,20.6083605,-103.4213355,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12810
1450810370,20.6083644,-103.3732891,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6453
5039624535,20.6083684,-103.4312126,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12602
1432255100,20.6083698,-103.3937465,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5846
1427496403,20.6083868,-103.3691949,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5736
1439693379,20.6083895,-103.393064,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6117
1451045749,20.6083973,-103.3797034,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6567
1654013671,20.6084023,-103.4208073,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8446
6464817835,20.6084062,-103.3592215,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12982
1761856890,20.6084218,-103.4309785,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9863
1450854653,20.6084267,-103.3759139,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6563
1430324226,20.6084346,-103.4243461,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5827
1451045744,20.6084381,-103.3798818,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6565
1430324138,20.6084491,-103.426228,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5803
1450810298,20.6084587,-103.3743509,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6424
1450810341,20.6084841,-103.370052,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6438
8775997674,20.6084877,-103.4201994,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14892
1432255096,20.608489,-103.3919963,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5845
6148072008,20.6084914,-103.4213992,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12811
1432255077,20.6084999,-103.3942091,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5842
1451045740,20.6085144,-103.3801929,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6564
